Artist,Location,Coordinates,Location Notes,Name,Year,Description,Neighborhood,Latitude,Longitude,ID
"Wen-ti Tsen, Yuon Zuo","Oxford St, Boston, MA 02111","42.35169668236009, -71.0605710631534",Pocket park off of Oxford Street,Chinatown Heritage,1988,"The Chinatown Heritage Mural is a copy of a 1705 ink painting at the MFA Boston: “Autumn mountains with travellers” by Wang Yun (Chinese, 1652–1735). Yet, that painting is a copy of an even earlier one by Fan Kuan (Chinese, c. 960 – c. 1030) done in the 11th century. While the painting in the MFA is an impressive eight feet tall, this mural spans four stories, or over 50 feet. ",Chinatown,42.35169668236009,-71.0605710631534,0
"Vyal ""Vyal One"" Reyes","Underground at Ink Block, 90 Traveler Street, Boston, MA 02126","42.345023834047964, -71.06052905619565",,Untitled,2017,"Vyal ""Vyal One"" Reyes usualy includes the stylized eyes in his work. In this rainbow mural, the eyes range in size and clarity. Some blend into the surrounding colors and patterns, while others stand out closer to the foreground. 

Underground at Ink Block opened after five years of planning, permitting, design, construction and leasing led by MassDOT in cooperation with the community, City of Boston, Boston Planning & Development Agency and the Federal Highway Administration. Through a public bid process, National Development, developer of Ink Block, was selected and has entered into a long-term lease as operator of the park. This park adds to the transformation of this area known as Ink Block, a seven building mixed-use community that has revitalized the New York Streets section of the South End.",South End,42.345023834047964,-71.06052905619565,1
"Victor ""Marka27"" Quiñonez, Rob ""ProBlak"" Gibbs","Underground at Ink Block, 90 Traveler Street, Boston, MA 02118","42.345023834047964, -71.06052905619565",,Don’t Let Me Be Misunderstood,2020,"In summer 2020, local artists Rob ""ProBlak"" Gibbs and Victor ""Marka27"" Quiñonez collaborated on this mural against the backdrop of the national Black Lives Matter movement. “Don’t Let Me Be Misunderstood” features a central raised fist and portraits of civil rights activist and musician Nina Simone. A small child is draped in an American flag appears on the left, and an allegorical figure of justice is cut off under her eyes on the right. The mural’s red, black, and green reflect the colors of the pan-African flag. 

Underground at Ink Block opened after five years of planning, permitting, design, construction and leasing led by MassDOT in cooperation with the community, City of Boston, Boston Planning & Development Agency and the Federal Highway Administration. Through a public bid process, National Development, developer of Ink Block, was selected and has entered into a long-term lease as operator of the park. This park adds to the transformation of this area known as Ink Block, a seven building mixed-use community that has revitalized the New York Streets section of the South End.",South End,42.345023834047964,-71.06052905619565,2
"Victor ""Marka27"" Quiñonez, David ""Don Rimx"" Sepulveda","Maurice J Tobin School, 40 Smith St, Roxbury, MA 02121","42.33310247231317, -71.0983383021578",,Untitled (Tobin School),2018,"One of the many collaborations adorning the Tobin School, this mural by Victor ""Marka27"" Quinone and David ""Don Rimx"" Sepulveda mixes their styles to create a stylized jaguar and warrior. Walk around the school building to see more work by local artists.",Roxbury,42.33310247231317,-71.0983383021578,3
"Victor ""Marka27"" Quiñonez","Washington Manor, 1701 Washington St. South End","42.33754240652663, -71.07612459818394",Visible from Worcester St.,Souledad,2022,"The City of Boston commissioned artist Victor ""Marka27"" Quiñonez to create this mural as part of the third round of the Transformative Public Art Program. The mural was inspired by the long history of cultural gatherings at Villa Victoria and depicts a variety of multicultural symbols.",South End,42.33754240652663,-71.07612459818394,4
"Victor ""Marka27"" Quiñonez","95 Magazine St, Boston, MA 02119","42.327263490418844, -71.06971565982968",,Back to the Essence,2020,"Part of the City's Transformation Public Art program, Victor ""Marka27"" Quiñonez found inspiration for his mural ""Back to the Essence"" in ancient Yoruba imagery of royalty and deities. The figure on the left is wearing a crown inspired by 12th century royalty, while the figure on the right is dressed in the yellows associated with Oshun, a river goddess who represents love and beauty.",Roxbury,42.327263490418844,-71.06971565982968,5
"Victor ""Marka27"" Quiñonez","199 Quincy St, Boston, MA 02121","42.31302898537912, -71.07515123099425",,Love Thyself,2018,"One of a series of recent murals in the Grove Hall neighborhood, Victor ""Marka27"" Quiñonez's mural, ""Love Thyself"" is a powerful and serene portrait of a Black woman with her eyes closed in a meditative pose. With a bright blue anatomical heart at her chest and flower petals in her afro, this mural is at once surreal and rooted in this world.",Dorchester,42.31302898537912,-71.07515123099425,6
"Victor ""Marka27"" Quiñonez","Underground at Ink Block, 90 Traveler Street, Boston, MA 02125","42.345023834047964, -71.06052905619565",,Cranes In The Sky,2019,"Victor ""Marka27"" Quiñonez painted “Cranes in the Sky” along a highway support beam, making the mural visible from Traveler Street and beyond. Solange’s 2016 song inspired the mural's title.

Underground at Ink Block opened after five years of planning, permitting, design, construction and leasing led by MassDOT in cooperation with the community, City of Boston, Boston Planning & Development Agency and the Federal Highway Administration. Through a public bid process, National Development, developer of Ink Block, was selected and has entered into a long-term lease as operator of the park. This park adds to the transformation of this area known as Ink Block, a seven building mixed-use community that has revitalized the New York Streets section of the South End.",South End,42.345023834047964,-71.06052905619565,7
Upendo Taylor,"Underground at Ink Block, 90 Traveler Street, Boston, MA 02126","42.345023834047964, -71.06052905619565",,Untitled,2017,"Like many of his works, this mural by Upendo Taylor features many patterns that give way to text and more representational drawings. Upendo also worked on the pavement designs on the adjacent blacktop.

Underground at Ink Block opened after five years of planning, permitting, design, construction and leasing led by MassDOT in cooperation with the community, City of Boston, Boston Planning & Development Agency and the Federal Highway Administration. Through a public bid process, National Development, developer of Ink Block, was selected and has entered into a long-term lease as operator of the park. This park adds to the transformation of this area known as Ink Block, a seven building mixed-use community that has revitalized the New York Streets section of the South End.",South End,42.345023834047964,-71.06052905619565,8
"Tony ""PRONZY"" Perez","Madison Park Technical Vocational High School, 75 Malcolm X Blvd, Boston, MA 02120","42.33204691212508, -71.08996914131734","Building 4, north wall",Black Love,2020,"In addition to a depiction of a Black woman leaning on a large jungle cat, ""Black Love"" features the names of and quotes from famous Black female writers and artists, including Zora Neale Hurston, Angela Davis, Sylvia Ardyn Boone, Tomi Adeyemi, and Bisa Butler. The mural makes extensive use of red, black, and green, the colors of the pan-African flag.",Roxbury,42.33204691212508,-71.08996914131734,9
Timothy McCool,"Finland Building, 774 Albany Street, Boston, MA","42.33400657014695, -71.0727591021576",Albany St side of building,Sunrise Over Albany Street,2017,"This blue, orange, and purple mural is a depiction of several city rooftops and a sunrise with a painting of that same scene on one of the rooftops. According to artist Timothy McCool, the easel and paintbrushes are evidence of someone inspired to capture the sunrise on canvas.",South End,42.33400657014695,-71.0727591021576,10
Thy Doan,"Underground at Ink Block, 90 Traveler Street, Boston, MA 02126","42.345023834047964, -71.06052905619565",,Nevertheless,2017,"Thy Doan used her background with hand-lettering signs to create this graphic mural. It features the quote “Nevertheless, she persisted,” made famous in 2017 as part of an explanation from then Senate Majority Leader Mitch McConnell on why he silenced Massachusetts Senator Elizabeth Warren during a confirmation hearing. 

Underground at Ink Block opened after five years of planning, permitting, design, construction and leasing led by MassDOT in cooperation with the community, City of Boston, Boston Planning & Development Agency and the Federal Highway Administration. Through a public bid process, National Development, developer of Ink Block, was selected and has entered into a long-term lease as operator of the park. This park adds to the transformation of this area known as Ink Block, a seven building mixed-use community that has revitalized the New York Streets section of the South End.",South End,42.345023834047964,-71.06052905619565,11
South Boston en Acción,"Old Colony, 1244 Columbia Rd, Boston, MA 02127","42.33047595210843, -71.04902381377835","Columbia Rd side of building, visible going eastbound",Community Mural,2015,South Boston en Acción's Community Mural features stylized portraits and positive words in English and Spanish. The colorful work also includes parts of the Boston skyline alongside a green park.,South Boston,42.33047595210843,-71.04902381377835,12
"Soraya ""Indie184"" Marquez","Underground at Ink Block, 90 Traveler Street, Boston, MA 02124","42.345023834047964, -71.06052905619565",,Untitled,2019,"Soraya ""Indie184"" Marquez’s two pillars overflow with color and bubble letters. The instructions “Respect Women” and “Visualize World Peace” are repeated throughout.

Underground at Ink Block opened after five years of planning, permitting, design, construction and leasing led by MassDOT in cooperation with the community, City of Boston, Boston Planning & Development Agency and the Federal Highway Administration. Through a public bid process, National Development, developer of Ink Block, was selected and has entered into a long-term lease as operator of the park. This park adds to the transformation of this area known as Ink Block, a seven building mixed-use community that has revitalized the New York Streets section of the South End.",South End,42.345023834047964,-71.06052905619565,13
Sophy Tuttle,"E Boston Greenway, Boston, MA 02128","42.368427, -71.038637","Sumner Street bridge underpass, East Boston",Rising Tides,2020,In this mural--part of the larger Sea Walls Boston mural series in East Boston--three saltmarsh sparrows are shown in their native habitat. The horizontal blue stripes of the backgraound represent potential sea level rise due to the effects of global warming.,East Boston,42.368427,-71.038637,14
Sophy Tuttle,"BCYF Gallivan Community Center, 61 Woodruff Way, Mattapan, MA 02127","42.27521958469448, -71.08241345889993",,Whale Song,2019,"One of four Boston murals commissioned through Pepsi's ""Canvas for Change"" series, Tuttle’s work depicts two whales swimming among pink and green seaweed. ",Mattapan,42.27521958469448,-71.08241345889993,15
Sophy Tuttle,"135 Western Ave, Allston, MA 02134","42.36377259161841, -71.12582411828986",,Interconnected,2020,"“Interconnected” features hummingbirds, butterflies, sea animals, succulents, and flowering plants. Bright lines and arrows connect all the creatures, invoking the complexities of nature’s food webs. 

This mural is part of Zone 3, a Harvard University initiative that started in 2015 to add public art, creative pop-ups, and community events in Allston. Although centered on a hub of buildings at 267 Western Ave, Zone 3 works within the larger neighborhood along the Western Ave corridor.",Allston,42.36377259161841,-71.12582411828986,16
Sophia Ainslie,"Boston City Hall, 1 City Hall Square, Boston MA 02201","42.36049318452591, -71.05760676406486","8th floor hallway, outside of Room 802",Untitled (City Hall),2020,"While this mural might look like abstract bursts of color among random black lines, Sophia Ainslie created this work using shapes from an x-ray her mother had while battling cancer. Despite the very personal inspiration, Ainslie welcomed passerby to stop to talk about the work during the month-long painting process. It is located right outside the Mayor's office of Arts and Culture on the eighth floor of City Hall.",Downtown,42.36049318452591,-71.05760676406486,17
"Sneha ""IMAGINE"" Shrestha","East Boston Harbor Shipyard & Marina, 256 Marginal St, East Boston, MA 02128","42.36424862943932, -71.03315954373655",Building 12 (the Downeast Cider House),Protect What You Love,2020,"""Protect What You Love"" features Sneha ""IMAGINE"" Shrestha's signature Nepali script and bright color palette. 

This mural is part of Sea Walls: Artists for Oceans, an international public art initiative by PangeaSeed Foundation that seeks to raise awareness about environmental challenges through murals. ",East Boston,42.36424862943932,-71.03315954373655,18
"Sneha ""IMAGINE"" Shrestha","Underground at Ink Block, 90 Traveler Street, Boston, MA 02126","42.345023834047964, -71.06052905619565",,Surya,2017,"Sneha ""IMAGINE"" Shrestha’s signature Nepali script comes through in blues and whites in her mural “Surya.”

Underground at Ink Block opened after five years of planning, permitting, design, construction and leasing led by MassDOT in cooperation with the community, City of Boston, Boston Planning & Development Agency and the Federal Highway Administration. Through a public bid process, National Development, developer of Ink Block, was selected and has entered into a long-term lease as operator of the park. This park adds to the transformation of this area known as Ink Block, a seven building mixed-use community that has revitalized the New York Streets section of the South End.",South End,42.345023834047964,-71.06052905619565,19
Silvia López Chavez,"East Boston Harbor Shipyard & Marina, 218 Marginal St, Boston, MA 02128, USA","42.36424862943932, -71.03315954373656",,Rise,2020,"Aptly titled ""Rise,"" local artist Silvia López Chavez's mural features a woman nearly submerged underwater. Although she holds native plants and animals, nets and plastic garbage are also intermixed in the bright colors. 

This mural is part of Sea Walls: Artists for Oceans, an international public art initiative by PangeaSeed Foundation that seeks to raise awareness about environmental challenges through murals. ",East Boston,42.36424862943932,-71.03315954373656,20
Silvia López Chavez,"Underground at Ink Block, 90 Traveler Street, Boston, MA 02123","42.345023834047964, -71.06052905619565",,Up and Under,2019,"Boston-based artist Silvia López Chavez’s “Up and Under” mural makes full use of the highway underpass. Flowers adorn the lower parts of the pillars, while the higher areas are filled with shapes in bright shades of blue, pink, orange, and purple.

Underground at Ink Block opened after five years of planning, permitting, design, construction and leasing led by MassDOT in cooperation with the community, City of Boston, Boston Planning & Development Agency and the Federal Highway Administration. Through a public bid process, National Development, developer of Ink Block, was selected and has entered into a long-term lease as operator of the park. This park adds to the transformation of this area known as Ink Block, a seven building mixed-use community that has revitalized the New York Streets section of the South End.",South End,42.345023834047964,-71.06052905619565,21
Silvia López Chavez,"289 Causeway St, Boston, MA 02113","42.36761172841099, -71.05797185396935",On side of building facing Prince Street,Caffe Ducali,2020,"This mural was commissioned by Caffe Ducali in Boston’s North End, a brick and mortar coffee bar located on Causeway Street.",North End,42.36761172841099,-71.05797185396935,22
Silvia López Chavez,"Ruggles MBTA Station, 1150 Tremont St, Roxbury, MA 02120","42.33730319294508, -71.08944273099347",On side of building facing Forsyth Street roundabout,JOY,2019,"This mural commissioned by Northeastern University overtook the large arch and facade of the entrance to Ruggles MBTA Station, connecting the wall visually to Silvia's other mural ‘999 Cranes’, created the year prior in front of Centennial Park.",Roxbury,42.33730319294508,-71.08944273099347,23
Silvia López Chavez,"Ruggles MBTA Station, 1150 Tremont St, Roxbury, MA 02121","42.33599758388031, -71.09058062400334",On wall below Ruggles Street Upper Busway off of Ruggles Street (next to Ryder Lot),999 Cranes,2018,"‘999 Cranes’ was commissioned by Northeastern University as part of President’s Joseph Aoun’s public art initiative on campus. 

",Roxbury,42.33599758388031,-71.09058062400334,24
Silvia López Chavez,"Charles River Esplanade, Dr Paul Dudley White Bike Path, Boston, MA 02215","42.351788089834955, -71.09275276250582","On wall of ramp facing Charles River, just west of Mass Ave bridge",Patterned Behavior,2017,"Commissioned by the Esplanade Association and curated and produced by Now + There, Patterned Behavior takes inspiration from The Esplanade’s immediate environment, and the many ways this space is enjoyed and used day-to-day. It reflects on the relationships and patterns created by the human interaction with the space and the busy intersection of water, land and sky.",Back Bay,42.351788089834955,-71.09275276250582,25
Sharif Muhammad,"141 McBride St., Jamaica Plain, MA 02130","42.30590172362457, -71.1098545846916",,Rainbow Swag,2021,"Sharif Muhammad’s design is on the northwest corner of the Extra Space Storage building, and was painted by StudioFresh in 2022. The mural competition entailed a 5-month process, run by a committee of Stonybrook Neighborhood Association volunteers, and utilizing a jury of seven art professionals and Jamaica Plain community representatives to choose the final artwork. The murals are a result of ten years of the SNA’s advocacy for a community benefit package, overseen by the Boston Planning and Development Agency (BPDA), and funded by SSG Development and Construction, which built this large mixed-use project on once contaminated property.",Jamaica Plain,42.30590172362457,-71.1098545846916,26
"Rob ""Problak"" Gibbs, Genaro ""GoFive"" Ortega, James ""Ras Terms"" Monk, Sneha ""IMAGINE"" Shrestha","Madison Park Technical Vocational High School, 75 Malcolm X Blvd, Boston, MA 02120","42.33204691212508, -71.08996914131734","Building 4, north wall",Untitled (Madison Park),2016,"One of the many murals adorning the Madison Park campus, this portrait was a collaboration between four local artists: Rob ""Problak"" Gibbs, Genaro ""GoFive"" Ortega, James ""Ras Terms"" Monk, and Sneha ""IMAGINE"" Shrestha",Roxbury,42.33204691212508,-71.08996914131734,27
"Rob ""Problak"" Gibbs, Genaro ""GoFive"" Ortega ","431 Melnea Cass Blvd, Boston, MA 02119","42.33393500807736, -71.08188804448588",Shawmut Ave side of building,Roxbury Love Story,2020,"These portraits of Martin Luther King Jr. and Coretta Scott King pay tribute to their time in Boston, the city where they first met as students at Boston University and the New England Conservatory of Music. The mural is located where the Twelfth Baptist Church stood in the 1950s, when King served as its assistant minister.",Roxbury,42.33393500807736,-71.08188804448588,28
"Rob ""Problak"" Gibbs","Madison Park Technical Vocational High School, 75 Malcolm X Blvd, Boston, MA 02120","42.33204691212508, -71.08996914131735","Building 4, west wall",Breathe Life 2,2020,"Rob ""Problak"" Gibbs has described his mural series as a way to ""Breathe Life"" back into his neighborhood through positive images. This mural, part of the City's Transformative Public Art program, was also a collaboration with the Museum of Fine Arts Boston. It features a child blowing bubbles and wearing a red, black, and green Roxbury dress and winged sneakers. To her right, papers fly out from a globe-patterned backpack, representing works by artists including Kara Walker, Robert Freeman, Paul Goodnight, Ricardo “Deme5” Gomez, and Thomas “Kwest” Burns along with books on American Sign Language, John Lewis, and Jean-Michel Basquiat.",Roxbury,42.33204691212508,-71.08996914131735,29
"Rob ""Problak"" Gibbs","808 Tremont Street, Boston, MA 02118","42.33858155918451, -71.0815956309934","Visible from Camden St., side of brick rowhouse",Breathe Life 3,2019,"Rob ""Problak"" Gibbs has described his mural series as a way to ""Breathe Life"" back into his neighborhood and create positive images. The third mural in the series depicts two smiling children--a young girl riding on a boy's shoulders--in rays of light, signing ""Breathe Life"" in American Sign Language.",Roxbury,42.33858155918451,-71.0815956309934,30
"Rob ""Problak"" Gibbs","UCERM Empowerment Center, 324 Blue Hill Avenue, Boston, MA 02121","42.31348792040496, -71.07948085797891","Blue Hill Ave side of building, facing the vacant lot",Afro Futurism / Breathe Life 1,2017,"Rob ""Problak"" Gibbs has described his mural series as a way to ""Breathe Life"" back into his neighborhood through positive images. This first mural in the series, commissioned by the City as part of a larger project in the Grove Hall neighborhood, features a child against a semi-aquatic abstract background.",Dorchester,42.31348792040496,-71.07948085797891,31
Rixy Fernandez,"Hien Vuong Restaurant, 1487 Dorchester Ave, Dorchester, MA 02122","42.30011724517227, -71.06037463099473","North side of building, visible from Dorchester Avenue going southbound",In Our Home,2019,"To represent the diversity of the Fields Corner neighborhood, artist Rixy Fernandez chose to depict colorful foods common to Latin American and Vietnamese cultures: rice, fish, avocados, bamboo, dragonfruit, and bananas. In addition to Fernandez's name at the top, the tablecloth below the foods contains dozens of signatures from community members. ",Dorchester,42.30011724517227,-71.06037463099473,32
Rixy,506 Cambridge St. Allston,"42.35330933785812, -71.13801778866463",,Rita's Spotlight,2022,"The City of Boston commissioned Rixy to create this mural as part of the Transformative Public Art Program. The mural honors Rita Hester, a Black trans woman and beloved Allston community member who lost her life as a result of transphobia and anti-trans violence.",Allston,42.35330933785812,-71.13801778866463,33
"Ricardo ""Deme5"" Gomez","Bartlett Street, Roxbury, MA 02119","42.32848773078224, -71.08882986049885",On street surface,Rules of Engagement,2020,"In Ricardo ""Deme5"" Gomez's street mural, ""Rules of Engagement,"" the large-scale yellow text ""LOVE RESPECT COMPASSION"" invokes styling of the national BLACK LIVES MATTER movement. “I hope people are reminded of how we should treat one another,” said Gomez in a 2020 interview with WBUR. “‘Rules of engagement’ is a term used to describe military force, but what if it was changed to a blueprint on how to treat people compassionately, respectfully and with love?”",Roxbury,42.32848773078224,-71.08882986049885,34
"Ricardo ""Deme5"" Gomez","Pimentel Market, 340 Centre St, Jamaica Plain, MA 02130","42.32257306990827, -71.10652776046021",On side of building facing Wyman St.,Pimentel Market Mural,Unknown,"The owner of Pimentel Market commissioned Deme5 to create this mural featuring four young women lying in the grass having a picnic. The mural reflects and celebrates the diversity of Boston's Latin Quarter, one of several cultural districts in the City of Boston. ",Jamaica Plain,42.32257306990827,-71.10652776046021,35
Ponnapa Prakkamakul with Asian CDC's A-VOYCE youth program,"79 Essex St, Boston, MA 02111
","42.35249950171367, -71.0606104855313",On Oxford and Essex Streets,Where We Belong 歸屬 歸宿,2021,"“Where We Belong” starts as a bowl of noodles on Essex Street before transforming into a dragon over 130 feet later on Oxford Street.  The mural also features short memories about eating noodles written in English and Chinese. This was the original location of the Ho Toy Noodle Company, which has been in business since 1970.",Chinatown,42.35249950171367,-71.0606104855313,36
Pete Cosmos,"267 Western Ave, Boston, MA 02134","42.364275706935295, -71.1327236882984",West side of the building,Faces of Allston,2017,"Allston-based artist Pete Cosmos’s “Faces of Allston” mural features portraits of some of the characters who have called the neighborhood home, including cartoons created at nearby WGBH. 

This mural is part of Zone 3, a Harvard University initiative that started in 2015 to add public art, creative pop-ups, and community events in Allston. Although centered on a hub of buildings at 267 Western Ave, Zone 3 works within the larger neighborhood along the Western Ave corridor.",Allston,42.364275706935295,-71.1327236882984,37
Percy Fortini-Wright,"Underground at Ink Block, 90 Traveler Street, Boston, MA 02126","42.345023834047964, -71.06052905619565",,Holy Mackerel,2017,"Boston-based artist Percy Fortini-Wright’s mural, “Holy Mackerel” features the unexpected pairing of a fish and a rabbit. The creatures are next to a surrealist room with a checked floor and its own mural in the distance. Layered on top of the fish’s body are depictions of a brick wall and the MBTA Red Line, both common places to find street art. 

Underground at Ink Block opened after five years of planning, permitting, design, construction and leasing led by MassDOT in cooperation with the community, City of Boston, Boston Planning & Development Agency and the Federal Highway Administration. Through a public bid process, National Development, developer of Ink Block, was selected and has entered into a long-term lease as operator of the park. This park adds to the transformation of this area known as Ink Block, a seven building mixed-use community that has revitalized the New York Streets section of the South End.",South End,42.345023834047964,-71.06052905619565,38
Paul Goodnight and Larry Pierce,"Breezes Laundromat, 345 Blue Hill Ave, Boston, MA 02121","42.31267605809196, -71.08039450679624",North side of the building,No Strings Detached,2021,"""No Strings Detached"" is the first artistic collaboration between local artists Paul Goodnight and Larry Pierce . Goodnight’s music makers play banjos and other string instruments. In the foreground, Pierce’s spotlit dancers add to the celebration. 

This mural is part of the Mentoring Murals program, a partnership between Now + There and Greater Grove Hall Main Streets.",Roxbury,42.31267605809196,-71.08039450679624,39
Nick Cave,"555 Columbia Road, Dorchester, MA 02125","42.31642831225891, -71.06565858681472",,Augment,2019,"As part of one of the planning initiatives in the Upham's Corner neighborhood, artist Nick Cave partnered with DS4SI and residents to create ""collages of shared happiness.” These collages were translated to a building wrap that brought vibrancy to 555 Columbia Road. ",Dorchester,42.31642831225891,-71.06565858681472,40
Napoleon Jones-Henderson,"Bruce C. Bolling Municipal Building, 2300 Washington St, Roxbury, MA 02119","42.330278710662036, -71.08384125982954",Central lobby,Roxbury Rhapsody,2015,"Napoleon Jones Henderson created ""Roxbury Rhapsody"" as an homage to the neighborhood's great jazz legacy. In a 2015 interview, Henderson said that “the rich musical history of Roxbury provides ample inspiration and symbolism to draw upon when one views this history as color(s), rhythm(s), and vibrations."" Completing the mosaic involved a detailed process of coloring each copper tile with enamel dust, firing in a kiln, and final assemblage.",Roxbury,42.330278710662036,-71.08384125982954,41
Mz. Icar,"Engagement Center, 112 Southampton St,  Dorchester","42.33242601738714, -71.06918001750128",Visible from Atkinson St.,Together,2021,"The City of Boston commissioned Mz. Icar to create an exterior mural at The Engagement Center in Newmarket Square as part of the Transformative Public Art Program. The mural is a colorful love letter that serves as a reminder that we are connected, valuable, and on a journey.",Roxbury,42.33242601738714,-71.06918001750128,42
