OBJECTID,Name,Avg. Lat,Avg. Long,NUM STATIONS,Station 1,Station 1 Dist ,Station 2,Station 2 Dist ,Station 3,Station 3 Dist ,Station 4,Station 4 Dist ,Station 5,Station 5 Dist ,Station 6,Station 6 Dist ,Station 7,Station 7 Dist ,Station 8,Station 8 Dist ,Station 9,Station 9 Dist ,Station 10,Station 10 Dist 
1,Indian Street Cravings,42.3505341,-71.075124,5,D32013,0.1653236650908012,D32005,0.19862456095830255,D32045,0.22780364138180906,D32049,0.24840704728410948,C32003,0.2981049852326654,D32046,0.37297301656759657,D32007,0.41972985121182876,D32017,0.5858898715532455,D32042,0.6194207629653027,C32008,0.6271414864664442
2,Moyzilla,42.3505341,-71.075124,5,D32013,0.1653236650908012,D32005,0.19862456095830255,D32045,0.22780364138180906,D32049,0.24840704728410948,C32003,0.2981049852326654,D32046,0.37297301656759657,D32007,0.41972985121182876,D32017,0.5858898715532455,D32042,0.6194207629653027,C32008,0.6271414864664442
3,Hungry Nomads,42.3505341,-71.075124,5,D32013,0.1653236650908012,D32005,0.19862456095830255,D32045,0.22780364138180906,D32049,0.24840704728410948,C32003,0.2981049852326654,D32046,0.37297301656759657,D32007,0.41972985121182876,D32017,0.5858898715532455,D32042,0.6194207629653027,C32008,0.6271414864664442
4,Chicken and Rice Guys ,42.3505341,-71.075124,5,D32013,0.1653236650908012,D32005,0.19862456095830255,D32045,0.22780364138180906,D32049,0.24840704728410948,C32003,0.2981049852326654,D32046,0.37297301656759657,D32007,0.41972985121182876,D32017,0.5858898715532455,D32042,0.6194207629653027,C32008,0.6271414864664442
5,Tacos Calleteco,42.3505341,-71.075124,5,D32013,0.1653236650908012,D32005,0.19862456095830255,D32045,0.22780364138180906,D32049,0.24840704728410948,C32003,0.2981049852326654,D32046,0.37297301656759657,D32007,0.41972985121182876,D32017,0.5858898715532455,D32042,0.6194207629653027,C32008,0.6271414864664442
6,Hungry Nomads,42.3505341,-71.075124,5,D32013,0.1653236650908012,D32005,0.19862456095830255,D32045,0.22780364138180906,D32049,0.24840704728410948,C32003,0.2981049852326654,D32046,0.37297301656759657,D32007,0.41972985121182876,D32017,0.5858898715532455,D32042,0.6194207629653027,C32008,0.6271414864664442
7,Indian Street Cravings,42.3605809,-71.057741,5,D32009,0.02554652179193965,B32008,0.1847238083601862,B32032,0.18893590962524737,D32057,0.20571836713275282,D32010,0.28351862359938046,B32061,0.37821395250508083,A32053,0.4805024402104783,A32013,0.5327135187799241,B32056,0.5403905688336003,B32004,0.601716219782034
8,Chick-fil-A,42.3778336,-71.051037,1,D32023,0.18258563106331635,D32039,0.5161532913048931,D32037,0.8354001349999223,A32036,0.9658656859182047,A32033,0.968087229081352,A32041,1.0113935039253983,D32021,1.0114948721516328,D32038,1.103983382161162,D32020,1.1448459753394786,A32031,1.3278993636191923
9,Chick-fil-A,42.3778336,-71.051037,1,D32023,0.18258563106331635,D32039,0.5161532913048931,D32037,0.8354001349999223,A32036,0.9658656859182047,A32033,0.968087229081352,A32041,1.0113935039253983,D32021,1.0114948721516328,D32038,1.103983382161162,D32020,1.1448459753394786,A32031,1.3278993636191923
10,Indian Street Cravings,42.3404783,-71.088974,1,B32062,0.19011129733834783,Z32997,0.37243111858690375,B32005,0.43903932063799195,C32063,0.4720298648475346,B32002,0.4772968049928516,C32004,0.6073425794949447,D32061,0.6187077766602779,C32056,0.6418314246610312,B32021,0.6817831897216946,B32064,0.7051612449565008
11,Indian Street Cravings,42.3404783,-71.088974,1,B32062,0.19011129733834783,Z32997,0.37243111858690375,B32005,0.43903932063799195,C32063,0.4720298648475346,B32002,0.4772968049928516,C32004,0.6073425794949447,D32061,0.6187077766602779,C32056,0.6418314246610312,B32021,0.6817831897216946,B32064,0.7051612449565008
12,Zinnekens,42.3493844,-71.102356,3,B32060,0.1308844244060354,D32032,0.1471942888302187,B32058,0.2895390913721489,A32008,0.33995648353703006,B32037,0.4183612912582113,B32020,0.42809308731286905,B32010,0.44697193313739886,A32003,0.5010473980959971,B32015,0.6324718973869053,B32034,0.6695858705404217
13,Zinnekens,42.3493844,-71.102356,3,B32060,0.1308844244060354,D32032,0.1471942888302187,B32058,0.2895390913721489,A32008,0.33995648353703006,B32037,0.4183612912582113,B32020,0.42809308731286905,B32010,0.44697193313739886,A32003,0.5010473980959971,B32015,0.6324718973869053,B32034,0.6695858705404217
14,Zinnekens,42.3493844,-71.102356,3,B32060,0.1308844244060354,D32032,0.1471942888302187,B32058,0.2895390913721489,A32008,0.33995648353703006,B32037,0.4183612912582113,B32020,0.42809308731286905,B32010,0.44697193313739886,A32003,0.5010473980959971,B32015,0.6324718973869053,B32034,0.6695858705404217
15,Zinnekens,42.3493844,-71.102356,3,B32060,0.1308844244060354,D32032,0.1471942888302187,B32058,0.2895390913721489,A32008,0.33995648353703006,B32037,0.4183612912582113,B32020,0.42809308731286905,B32010,0.44697193313739886,A32003,0.5010473980959971,B32015,0.6324718973869053,B32034,0.6695858705404217
16,Zaaki,42.3493844,-71.102356,3,B32060,0.1308844244060354,D32032,0.1471942888302187,B32058,0.2895390913721489,A32008,0.33995648353703006,B32037,0.4183612912582113,B32020,0.42809308731286905,B32010,0.44697193313739886,A32003,0.5010473980959971,B32015,0.6324718973869053,B32034,0.6695858705404217
17,Zaaki,42.3493844,-71.102356,3,B32060,0.1308844244060354,D32032,0.1471942888302187,B32058,0.2895390913721489,A32008,0.33995648353703006,B32037,0.4183612912582113,B32020,0.42809308731286905,B32010,0.44697193313739886,A32003,0.5010473980959971,B32015,0.6324718973869053,B32034,0.6695858705404217
18,Tacos Calleteco,42.3528306,-71.045234,5,A32000,0.08275584682953616,C32034,0.14331998722684952,B32007,0.1661886297315025,C32036,0.24525146690179064,C32107,0.2947539291184427,B32014,0.5341401825486305,D32018,0.5629551693768787,D32008,0.6574123994462892,A32026,0.6855321467633545,C32032,0.8170866859230186
19,Indian Street Food Cravings,42.3528306,-71.045234,5,A32000,0.08275584682953616,C32034,0.14331998722684952,B32007,0.1661886297315025,C32036,0.24525146690179064,C32107,0.2947539291184427,B32014,0.5341401825486305,D32018,0.5629551693768787,D32008,0.6574123994462892,A32026,0.6855321467633545,C32032,0.8170866859230186
20,Tacos Calleteco,42.3442968,-71.052403,1,C32024,0.02450391396854864,C32009,0.41079908723122593,C32053,0.4843101099178337,C32029,0.5817180106312922,C32028,0.6926367575078315,D32018,0.6964821514683505,C32035,0.81419382709346,C32025,0.9063094194170679,A32010,0.9126499440243527,C32107,0.9151088906298249
21,Zaaki,42.3640521,-71.068371,0,D32022,0.3820123468348428,A32025,0.3833176792310425,D32000,0.4011346307431349,D32016,0.43008928214338205,A32053,0.7471037593101958,B32061,0.8472540465542004,B32032,0.8482153939346382,D32024,0.8969562083658326,D32009,0.9806476924821383,B32056,0.9874458640269719
22,Bibim Box,42.3640521,-71.068371,0,D32022,0.3820123468348428,A32025,0.3833176792310425,D32000,0.4011346307431349,D32016,0.43008928214338205,A32053,0.7471037593101958,B32061,0.8472540465542004,B32032,0.8482153939346382,D32024,0.8969562083658326,D32009,0.9806476924821383,B32056,0.9874458640269719
23,Bibim Box,42.3640521,-71.068371,0,D32022,0.3820123468348428,A32025,0.3833176792310425,D32000,0.4011346307431349,D32016,0.43008928214338205,A32053,0.7471037593101958,B32061,0.8472540465542004,B32032,0.8482153939346382,D32024,0.8969562083658326,D32009,0.9806476924821383,B32056,0.9874458640269719
24,Chicken and RIce Guys,42.3640521,-71.068371,0,D32022,0.3820123468348428,A32025,0.3833176792310425,D32000,0.4011346307431349,D32016,0.43008928214338205,A32053,0.7471037593101958,B32061,0.8472540465542004,B32032,0.8482153939346382,D32024,0.8969562083658326,D32009,0.9806476924821383,B32056,0.9874458640269719
25,Bon Me,42.3640521,-71.068371,0,D32022,0.3820123468348428,A32025,0.3833176792310425,D32000,0.4011346307431349,D32016,0.43008928214338205,A32053,0.7471037593101958,B32061,0.8472540465542004,B32032,0.8482153939346382,D32024,0.8969562083658326,D32009,0.9806476924821383,B32056,0.9874458640269719
26,Lourdya Gourmet,42.3640521,-71.068371,0,D32022,0.3820123468348428,A32025,0.3833176792310425,D32000,0.4011346307431349,D32016,0.43008928214338205,A32053,0.7471037593101958,B32061,0.8472540465542004,B32032,0.8482153939346382,D32024,0.8969562083658326,D32009,0.9806476924821383,B32056,0.9874458640269719
27,Hungry Nomads,42.3640521,-71.068371,0,D32022,0.3820123468348428,A32025,0.3833176792310425,D32000,0.4011346307431349,D32016,0.43008928214338205,A32053,0.7471037593101958,B32061,0.8472540465542004,B32032,0.8482153939346382,D32024,0.8969562083658326,D32009,0.9806476924821383,B32056,0.9874458640269719
28,Indian Street Cravings,42.3640521,-71.068371,0,D32022,0.3820123468348428,A32025,0.3833176792310425,D32000,0.4011346307431349,D32016,0.43008928214338205,A32053,0.7471037593101958,B32061,0.8472540465542004,B32032,0.8482153939346382,D32024,0.8969562083658326,D32009,0.9806476924821383,B32056,0.9874458640269719
29,Indian Street Cravings,42.3640521,-71.068371,0,D32022,0.3820123468348428,A32025,0.3833176792310425,D32000,0.4011346307431349,D32016,0.43008928214338205,A32053,0.7471037593101958,B32061,0.8472540465542004,B32032,0.8482153939346382,D32024,0.8969562083658326,D32009,0.9806476924821383,B32056,0.9874458640269719
