id,Title,Artist,Lat,Long,Station 1,Station 1 Dist,Station 2,Station 2 Dist,Station 3,Station 3 Dist,Station 4,Station 4 Dist,Station 5,Station 5 Dist
0,Chinatown Heritage,"Wen-ti Tsen, Yuon Zuo",42.35169668,-71.06057106,D32015,0.10617899114996326,D32019,0.1908531316977661,D32043,0.2819126326041042,A32042,0.35811711286917036,A32010,0.4173416542264205
1,Untitled,"Vyal ""Vyal One"" Reyes",42.34502383,-71.06052906,C32035,0.2007569243729737,C32025,0.23971303053860915,C32057,0.2736826448112066,C32009,0.2818247641947946,C32053,0.30066994945183456
2,Don’t Let Me Be Misunderstood,"Victor ""Marka27"" Quiñonez, Rob ""ProBlak"" Gibbs",42.34502383,-71.06052906,C32035,0.2007569243729737,C32025,0.23971303053860915,C32057,0.2736826448112066,C32009,0.2818247641947946,C32053,0.30066994945183456
3,Untitled (Tobin School),"Victor ""Marka27"" Quiñonez, David ""Don Rimx"" Sepulveda",42.33310247,-71.0983383,B32063,0.24061206395742812,C32001,0.33698220776564425,B32033,0.3893730328389139,B32013,0.50260666520369,B32059,0.5075390104465202
4,Souledad,"Victor ""Marka27"" Quiñonez",42.33754241,-71.0761246,C32006,0.20285844235002762,C32005,0.36236263165979066,D32059,0.3982250887093129,A32009,0.42513601820717956,C32056,0.4692092587029426
5,Back to the Essence,"Victor ""Marka27"" Quiñonez",42.32726349,-71.06971566,C32022,0.27529617863901895,C32015,0.5118331228089642,C32061,1.0443586311130735,B32026,1.1296883288507884,C32005,1.1609750793545746
6,Love Thyself,"Victor ""Marka27"" Quiñonez",42.31302899,-71.07515123,B32029,0.4265032927416686,B32028,0.7430003986497343,B32022,0.8060445259197809,B32031,1.0071347312654981,C32037,1.046095066520931
7,Cranes In The Sky,"Victor ""Marka27"" Quiñonez",42.34502383,-71.06052906,C32035,0.2007569243729737,C32025,0.23971303053860915,C32057,0.2736826448112066,C32009,0.2818247641947946,C32053,0.30066994945183456
8,Untitled,Upendo Taylor,42.34502383,-71.06052906,C32035,0.2007569243729737,C32025,0.23971303053860915,C32057,0.2736826448112066,C32009,0.2818247641947946,C32053,0.30066994945183456
9,Black Love,"Tony ""PRONZY"" Perez",42.33204691,-71.08996914,B32059,0.20414916699283925,B32055,0.2874093739762106,B32064,0.3051228304807644,C32001,0.4393173138308423,B32002,0.4940884691932132
10,Sunrise Over Albany Street,Timothy McCool,42.33400657,-71.0727591,C32061,0.4300164118726733,C32006,0.5117711450605288,C32005,0.5314981063584878,C32093,0.6273166591084709,D32059,0.6606023675257143
11,Nevertheless,Thy Doan,42.34502383,-71.06052906,C32035,0.2007569243729737,C32025,0.23971303053860915,C32057,0.2736826448112066,C32009,0.2818247641947946,C32053,0.30066994945183456
12,Community Mural,South Boston en Acción,42.33047595,-71.04902381,C32052,0.1328113418018501,C32016,0.6511550821214014,C32029,0.9794134750573803,C32017,1.027724181188054,C32013,1.1398719095357408
13,Untitled,"Soraya ""Indie184"" Marquez",42.34502383,-71.06052906,C32035,0.2007569243729737,C32025,0.23971303053860915,C32057,0.2736826448112066,C32009,0.2818247641947946,C32053,0.30066994945183456
14,Rising Tides,Sophy Tuttle,42.368427,-71.038637,A32030,0.10480512895250292,A32031,0.13947319872152705,A32057,0.33465149369129943,A32049,0.34676522511863805,A32044,0.4413196034266339
15,Whale Song,Sophy Tuttle,42.27521958,-71.08241346,C32103,0.42932779154182127,C32050,0.9258289272184917,C32044,0.9355361973426042,C32045,1.2323213003745814,Z32999,1.3706905664186226
16,Interconnected,Sophy Tuttle,42.36377259,-71.12582412,A32011,0.10124006482142076,A32019,0.2267090183210416,A32040,0.447819468086523,A32052,0.4902987576982229,A32006,0.6242012379018111
17,Untitled (City Hall),Sophia Ainslie,42.36049318,-71.05760676,D32009,0.010883781171327675,B32008,0.1747588688612071,B32032,0.19499390630551072,D32057,0.1956045983196421,A32058,0.2110499764593749
18,Protect What You Love,"Sneha ""IMAGINE"" Shrestha",42.36424863,-71.03315954,A32050,0.36206155215206554,A32044,0.38830866219308163,A32057,0.6093781906878046,A32049,0.7308641420756596,A32030,0.7468789001140748
19,Surya,"Sneha ""IMAGINE"" Shrestha",42.34502383,-71.06052906,C32035,0.2007569243729737,C32025,0.23971303053860915,C32057,0.2736826448112066,C32009,0.2818247641947946,C32053,0.30066994945183456
20,Rise,Silvia López Chavez,42.36424863,-71.03315954,A32050,0.36206155215206554,A32044,0.38830866219308163,A32057,0.6093781906878046,A32049,0.7308641420756596,A32030,0.7468789001140748
21,Up and Under,Silvia López Chavez,42.34502383,-71.06052906,C32035,0.2007569243729737,C32025,0.23971303053860915,C32057,0.2736826448112066,C32009,0.2818247641947946,C32053,0.30066994945183456
22,Caffe Ducali,Silvia López Chavez,42.36761173,-71.05797185,A32053,0.33867032932887076,D32021,0.5078936674578759,D32010,0.5558733493142818,A32025,0.5611894927806981,D32022,0.5674923355761452
23,JOY,Silvia López Chavez,42.33730319,-71.08944273,B32002,0.1680798412241614,B32062,0.2285552776909191,Z32997,0.29244634057030117,B32064,0.3738272215915779,B32059,0.542666569600659
24,999 Cranes,Silvia López Chavez,42.33599758,-71.09058062,B32002,0.21561268438905576,B32064,0.31146768566735183,Z32997,0.32336701081923697,B32062,0.3559927097427873,B32059,0.37256830866773494
25,Patterned Behavior,Silvia López Chavez,42.35178809,-71.09275276,B32037,0.46813333119614486,B32010,0.49009663315021057,B32018,0.691932653180905,D32032,0.6930460907254254,M32006,0.7020870612306752
26,Rainbow Swag,Sharif Muhammad,42.30590172,-71.10985458,D32040,0.1936112128376526,D32052,0.48296978538338275,E32005,0.5593577359860262,E32001,0.5778656611061656,E32010,0.6611652046620068
27,Untitled (Madison Park),"Rob ""Problak"" Gibbs, Genaro ""GoFive"" Ortega, James ""Ras Terms"" Monk, Sneha ""IMAGINE"" Shrestha",42.33204691,-71.08996914,B32059,0.20414916699283925,B32055,0.2874093739762106,B32064,0.3051228304807644,C32001,0.4393173138308423,B32002,0.4940884691932132
28,Roxbury Love Story,"Rob ""Problak"" Gibbs, Genaro ""GoFive"" Ortega ",42.33393501,-71.08188804,B32026,0.13659076208747295,D32059,0.24592744360486768,C32005,0.2681366274637167,D32061,0.41018492368451304,B32064,0.4779659775234901
29,Breathe Life 2,"Rob ""Problak"" Gibbs",42.33204691,-71.08996914,B32059,0.20414916699283925,B32055,0.2874093739762106,B32064,0.3051228304807644,C32001,0.4393173138308423,B32002,0.4940884691932132
30,Breathe Life 3,"Rob ""Problak"" Gibbs",42.33858156,-71.08159563,C32056,0.018380941375078775,D32061,0.13493138300784213,C32004,0.25031971383480595,D32059,0.31990014167251996,C32063,0.3411134998633719
31,Afro Futurism / Breathe Life 1,"Rob ""Problak"" Gibbs",42.31348792,-71.07948086,B32022,0.5444558713596198,B32028,0.6313517681216031,B32029,0.6953984342725675,C32037,1.0398135662323742,B32027,1.0953767934715832
32,In Our Home,Rixy Fernandez,42.30011725,-71.06037463,C32041,0.059689033744043295,C32108,0.6405878073729947,E32009,0.9144245136399543,B32031,0.9441821024812542,C32066,0.950399469080073
33,Rita's Spotlight,Rixy,42.35330934,-71.13801779,A32001,0.05813282797561058,A32045,0.47038683094281636,D32034,0.5730169068749436,A32017,0.6277196237542649,D32035,0.7669397366615434
34,Rules of Engagement,"Ricardo ""Deme5"" Gomez",42.32848773,-71.08882986,B32055,0.1540461689481898,B32017,0.43597221518335494,B32059,0.5593047096029006,C32001,0.6023786806802754,B32064,0.6419880716555706
35,Pimentel Market Mural,"Ricardo ""Deme5"" Gomez",42.32257307,-71.10652776,E32003,0.2875260165985972,E32012,0.4163553420621447,E32006,0.5279324661468635,D32041,0.6476417963547163,E32007,0.6645825704136274
36,Where We Belong 歸屬 歸宿,Ponnapa Prakkamakul with Asian CDC's A-VOYCE youth program,42.3524995,-71.06061049,D32015,0.16319016652672233,D32019,0.1707248883008277,A32042,0.3370601899493408,D32014,0.35598905057594915,D32043,0.3627717090041311
37,Faces of Allston,Pete Cosmos,42.36427571,-71.13272369,A32019,0.3561712120794317,A32005,0.5140325276348661,A32040,0.5632791227290925,A32011,0.6723011091201702,A32052,0.8160166617380131
38,Holy Mackerel,Percy Fortini-Wright,42.34502383,-71.06052906,C32035,0.2007569243729737,C32025,0.23971303053860915,C32057,0.2736826448112066,C32009,0.2818247641947946,C32053,0.30066994945183456
39,No Strings Detached,Paul Goodnight and Larry Pierce,42.31267606,-71.08039451,B32028,0.5314021918362021,B32022,0.6012171616659264,B32029,0.7075842410821097,C32037,0.9538356107706848,C32027,1.0264992578340857
40,Augment,Nick Cave,42.31642831,-71.06565859,C32112,0.611782642107403,C32113,0.8611127323945549,B32031,0.9536490485508979,B32029,0.9677003158172013,C32064,1.0907478455908488
41,Roxbury Rhapsody,Napoleon Jones-Henderson,42.33027871,-71.08384126,B32017,0.04844161468846021,B32026,0.356312106894611,B32055,0.5284713566335739,B32064,0.5384835740916977,C32005,0.665898793696569
42,Together,Mz. Icar,42.33242602,-71.06918002,C32061,0.4693722538352529,C32022,0.683971086086224,C32093,0.7532520475042599,C32006,0.7860575418932613,C32005,0.8649966355008355
43,Youth Lead the Change: Rise Up from Your Roots,Mel Mandel,42.2897688,-71.08352056,C32110,0.5342721796443596,C32043,0.6112926865188556,C32092,0.7438100261750443,C32094,0.9522555203329075,C32038,0.9681706757205759
44,Black Inventors,"Mayor's Mural Crew, Thomas Burns",42.30907628,-71.08060932,B32028,0.13259471323227925,C32037,0.5602353254695919,B32029,0.6380010173387622,C32111,0.680424491607978,C32030,0.7352134760499937
45,Sports Heros,"Mayor's Mural Crew, Marshall Dackert",42.278621,-71.163887,C32087,0.1321227965696014,C32086,0.7138362293346959,C32085,1.214536456968118,C32059,2.3993956791344684,C32046,3.0644771875562578
46,Little Saigon / Viet Dorchester,"Mayor's Mural Crew, Jon Tran",42.30218181,-71.06007637,C32041,0.2875485973566994,C32108,0.5074719443367707,B32031,0.7548831211402033,C32113,0.8484215736042101,C32033,1.0647659678825798
47,"Nieli’Ka (Ojo de Dios, or Eye of God)","Mayor's Mural Crew, Heidi Schork, Tom Wiklund",42.312218,-71.113946,E32001,0.37214284450656543,E32005,0.5741808368614738,D32052,0.7008599165343884,D32040,0.8159459377713782,D32041,0.9491475811559027
48,Know Your History,"Mayor's Mural Crew, Heidi Schork",42.26886886,-71.09439967,C32045,0.1243056586852764,Z32999,0.2815814305023992,C32044,0.6413188497980047,C32050,0.9511344720209084,C32103,1.5998615034269703
49,"Melnea Cass, Frieda Garcia, Judy Norsigian and Kip Tiernan",Mayor's Mural Crew and Heidi Schork,42.33299559,-71.07872722,B32026,0.2045995552636074,C32005,0.23504304008919405,D32059,0.3447447556467738,B32017,0.5495413998454434,D32061,0.6002431495723558
50,Nature Walk / Flora and Fauna,Mayor's Mural Crew and Heidi Schork,42.28673275,-71.10796693,C32105,0.1795156794341848,C32094,1.0952568747998612,C32079,1.1464301244338826,C32089,1.2309612323937469,C32048,1.2746119239688396
51,Frederick Douglass Square Mural,Mayor's Mural Crew and Heidi Schork,42.337186,-71.08375,D32061,0.1087792720108479,C32056,0.21899028341373264,D32059,0.31498232454203706,B32002,0.36440045751838046,C32004,0.44171603549326294
52,History of Fort Hill II,Mayor's Mural Crew and Gregg Bernstein,42.32737285,-71.09654547,C32001,0.4382371579742863,E32012,0.5705455476721291,B32055,0.5753958548919557,E32006,0.5755690317013924,B32059,0.707703390844194
53,"For Giving, For Getting",Matthew Zaremba,42.34502383,-71.06052906,C32035,0.2007569243729737,C32025,0.23971303053860915,C32057,0.2736826448112066,C32009,0.2818247641947946,C32053,0.30066994945183456
54,Hard in the Paint,Maria Molteni,42.29225207,-71.08020438,C32110,0.184101558434178,C32043,0.6256833090865649,C32038,0.724690764913199,C32055,0.9260696976353039,C32099,1.0884613978321664
55,Boston Strong,Marcelo Ment,42.29151678,-71.06257495,C32066,0.02235368000606246,E32009,0.3045581914355307,C32062,0.6594807766217521,C32038,0.7725783202145242,C32055,0.8418458104761863
56,Mystery Map,Liz LaManche,42.37937709,-71.0297468,A32051,0.1661007613402795,A32032,0.6359960748352157,A32041,0.8914433589010834,A32049,1.0893465597416931,A32036,1.147143785957883
57,Play and Yay!,"Lisa Jeanne Graf, Bea Graf",42.31575228,-71.08811437,B32027,0.3407165798109965,B32022,0.5244461348233961,B32023,0.6827634833844655,C32027,0.7433647805781095,C32102,0.7600240813359672
58,Untitled (Tobin School),Lena McCarthy,42.33310247,-71.0983383,B32063,0.24061206395742812,C32001,0.33698220776564425,B32033,0.3893730328389139,B32013,0.50260666520369,B32059,0.5075390104465202
59,Greetings from Columbia Point,Laura DeDonato Wiatt,42.31801891,-71.0431871,C32090,0.20285073117435673,C32013,0.7075627727683383,C32014,0.8512018817739669,C32064,0.8943933695617637,C32033,1.2079515235638572
60,"Puzzle Me, Allston-Brighton!",Kit Collins,42.36272923,-71.1307709,A32019,0.27470943014537824,A32040,0.32961301468528637,A32011,0.5201312357406943,A32005,0.5907421836821427,A32052,0.7989018841252585
61,The Hidden Dragon,Kenji Chai,42.33204691,-71.08996914,B32059,0.20414916699283925,B32055,0.2874093739762106,B32064,0.3051228304807644,C32001,0.4393173138308423,B32002,0.4940884691932132
62,Faces of Codman Square,K Jameel Parker,42.29122037,-71.07210351,C32038,0.10157611686381836,C32055,0.4364287442769119,C32110,0.4973534665610161,E32009,0.5568404572514487,C32066,0.7881022292360417
63,A Message to the Future,"Julia Csekö, in collaboration with Eddie Maisonet ",42.30590172,-71.10985458,D32040,0.1936112128376526,D32052,0.48296978538338275,E32005,0.5593577359860262,E32001,0.5778656611061656,E32010,0.6611652046620068
64,The Calling,"Julia ""Julz"" Roth and Cedric ""Vise 1"" Douglas",42.36424863,-71.03315954,A32050,0.36206155215206554,A32044,0.38830866219308163,A32057,0.6093781906878046,A32049,0.7308641420756596,A32030,0.7468789001140748
65,Fight the Rise,Josie Morway,42.36395478,-71.03234707,A32050,0.2954114146912137,A32044,0.4287918527626656,A32057,0.6826471893037701,A32049,0.7825266370067266,A32030,0.8183373495434353
66,Allumination,Jessie Unterhalter and Katey Truhn,42.36430359,-71.13338494,A32019,0.41039659459191136,A32005,0.4731452101952693,A32040,0.600583770503858,A32011,0.7268273069842521,A32052,0.8618434196919947
67,Untitled,"Jeremy “Sobek” Harrison, EYEVAN",42.30030547,-71.06022733,C32041,0.08381905763315653,C32108,0.6181966310683613,B32031,0.9304013814712007,E32009,0.9385992622968508,C32066,0.9732709168164912
68,Turmoil,Jeremy “Sobek” Harrison,42.33201765,-71.0824795,B32026,0.13798294398958227,B32017,0.2672173974500618,C32005,0.44453525977085684,D32059,0.4590722524816246,B32064,0.49233221461687493
69,Untitled,Iker Muro,42.34502383,-71.06052906,C32035,0.2007569243729737,C32025,0.23971303053860915,C32057,0.2736826448112066,C32009,0.2818247641947946,C32053,0.30066994945183456
70,Married in Boston,"Heidi Schork, Michael Evans",42.36049318,-71.05760676,D32009,0.010883781171327675,B32008,0.1747588688612071,B32032,0.19499390630551072,D32057,0.1956045983196421,A32058,0.2110499764593749
